cluster_id	group
0	unsorted
1	unsorted
2	unsorted
3	unsorted
4	unsorted
5	unsorted
6	unsorted
7	unsorted
8	unsorted
9	unsorted
10	unsorted
11	unsorted
12	unsorted
13	unsorted
14	unsorted
15	unsorted
16	unsorted
17	unsorted
18	unsorted
19	unsorted
20	unsorted
21	unsorted
22	unsorted
23	unsorted
24	unsorted
25	unsorted
26	unsorted
27	unsorted
28	unsorted
29	unsorted
30	unsorted
31	unsorted
32	unsorted
33	unsorted
34	unsorted
35	unsorted
36	unsorted
37	unsorted
38	unsorted
39	unsorted
40	unsorted
41	unsorted
42	unsorted
43	unsorted
44	unsorted
45	unsorted
